Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
Andhra Pradesh, 31-01-2016, M, 17.11, 15403662.00, 67.40
Andhra Pradesh, 29-02-2016, M, 10.08, 13879174.00, 55.92
Andhra Pradesh, 31-03-2016, M, 8.74, 14314579.00, 56.76
Andhra Pradesh, 30-04-2016, M, 3.97, 14045983.00, 52.87
Andhra Pradesh, 31-05-2016, M, 5.94, 15873974.00, 60.94
Andhra Pradesh, 30-06-2016, M, 3.54, 13006747.00, 48.64
Andhra Pradesh, 31-07-2016, M, 4.98, 14165099.00, 53.71
Andhra Pradesh, 31-08-2016, M, 3.01, 13558769.00, 50.31
Andhra Pradesh, 30-09-2016, M, 8.47, 14568750.00, 57.22
Andhra Pradesh, 31-10-2016, M, 11.11, 13709005.00, 55.38
Andhra Pradesh, 30-11-2016, M, 4.87, 13757647.00, 51.88
Andhra Pradesh, 31-12-2016, M, 4.07, 13162991.00, 49.17
Andhra Pradesh, 31-01-2017, M, 5.86, 14405379.00, 54.77
Andhra Pradesh, 28-02-2017, M, 4.83, 12994162.00, 48.82
Andhra Pradesh, 31-03-2017, M, 2.78, 13379892.00, 49.15
Andhra Pradesh, 30-04-2017, M, 2.75, 13143105.00, 48.22
Andhra Pradesh, 31-05-2017, M, 1.70, 13107658.00, 47.52
Andhra Pradesh, 30-06-2017, M, 3.76, 12607286.00, 46.64
Andhra Pradesh, 31-07-2017, M, 2.51, 12972951.00, 47.32
Andhra Pradesh, 31-08-2017, M, 2.49, 12749708.00, 46.45
Andhra Pradesh, 30-09-2017, M, 5.91, 13683892.00, 51.61
Andhra Pradesh, 31-10-2017, M, 2.96, 12131064.00, 44.31
Andhra Pradesh, 30-11-2017, M, 3.19, 13011182.00, 47.59
Andhra Pradesh, 31-12-2017, M, 3.45, 13545548.00, 49.62
Andhra Pradesh, 31-01-2018, M, 4.79, 13061886.00, 48.46
Andhra Pradesh, 28-02-2018, M, 4.38, 12414387.00, 45.82
Andhra Pradesh, 31-03-2018, M, 4.17, 12583382.00, 46.29
Andhra Pradesh, 30-04-2018, M, 2.80, 12141674.00, 43.99
Andhra Pradesh, 31-05-2018, M, 3.64, 12309016.00, 44.93
Andhra Pradesh, 30-06-2018, M, 4.78, 11577611.00, 42.72
Andhra Pradesh, 31-07-2018, M, 5.26, 12636224.00, 46.82
Andhra Pradesh, 31-08-2018, M, 4.03, 12338427.00, 45.07
Andhra Pradesh, 30-09-2018, M, 4.06, 12442778.00, 45.42
Andhra Pradesh, 31-10-2018, M, 5.74, 10894155.00, 40.43
Andhra Pradesh, 30-11-2018, M, 4.67, 12084598.00, 44.30
Andhra Pradesh, 31-12-2018, M, 3.90, 12222642.00, 44.39
Andhra Pradesh, 31-01-2019, M, 4.67, 12748903.00, 46.63
Andhra Pradesh, 28-02-2019, M, 5.75, 10842104.00, 40.07
Andhra Pradesh, 31-03-2019, M, 4.96, 11581513.00, 42.40
Andhra Pradesh, 30-04-2019, M, 3.56, 12784615.00, 46.07
Andhra Pradesh, 31-05-2019, M, 3.65, 11999141.00, 43.24
Andhra Pradesh, 30-06-2019, M, 3.05, 11755881.00, 42.05
Andhra Pradesh, 31-07-2019, M, 3.75, 12086709.00, 43.50
Andhra Pradesh, 31-08-2019, M, 3.32, 12285689.00, 43.97
Andhra Pradesh, 30-09-2019, M, 5.17, 12256763.00, 44.68
Andhra Pradesh, 31-10-2019, M, 3.52, 12017405.00, 43.01
Andhra Pradesh, 30-11-2019, M, 4.12, 11397681.00, 41.00
Andhra Pradesh, 31-12-2019, M, 4.38, 12528397.00, 45.14
Andhra Pradesh, 31-01-2020, M, 4.84, 12016676.00, 43.46
Andhra Pradesh, 29-02-2020, M, 5.91, 11723617.00, 42.83
Andhra Pradesh, 31-03-2020, M, 4.06, 11359660.00, 40.66
Andhra Pradesh, 30-04-2020, M, 16.29, 8792827.00, 36.03
Andhra Pradesh, 31-05-2020, M, 14.46, 9526902.00, 38.16
Andhra Pradesh, 30-06-2020, M, 2.44, 14855579.00, 52.12
Andhra Pradesh, 31-07-2020, M, 7.79, 11272862.00, 41.80
Andhra Pradesh, 31-08-2020, M, 5.84, 10762372.00, 39.04
Andhra Pradesh, 30-09-2020, M, 5.43, 10817388.00, 39.02
Andhra Pradesh, 31-10-2020, M, 6.55, 10490186.00, 38.25
Andhra Pradesh, 30-11-2020, M, 4.74, 11133820.00, 39.79
Andhra Pradesh, 31-12-2020, M, 6.51, 11238274.00, 40.87
Andhra Pradesh, 31-01-2021, M, 2.95, 11776946.00, 41.22
Andhra Pradesh, 28-02-2021, M, 3.14, 11736108.00, 41.11
Andhra Pradesh, 31-03-2021, M, 5.39, 11130399.00, 39.87
Andhra Pradesh, 30-04-2021, M, 3.56, 11244637.00, 39.47
Andhra Pradesh, 31-05-2021, M, 13.55, 10637083.00, 41.61
Andhra Pradesh, 30-06-2021, M, 7.47, 10810677.00, 39.47
Andhra Pradesh, 31-07-2021, M, 8.93, 10873035.00, 40.29
Andhra Pradesh, 31-08-2021, M, 5.77, 11524239.00, 41.22
